,satellite_name,catalog_number,time,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,altitude_km
0,VANGUARD 1,5,2025-11-22T20:26:32.002051,1255.7977135292042,7411.96941600968,-2501.168032067846,-6.6265674377152015,-1.1980734792309529,-3.003559487585632,1551.762147496679
1,VANGUARD 1,5,2025-11-22T21:26:32.002051,1536.1328361988178,-8150.041182576876,4304.49731862607,5.6179821500877525,1.190362188446496,2.464145712020822,2973.066167049886
